============================================================
Distillation Sweep: math
Configs: A_fast, B_medium, C_gentle, D_long
============================================================
  Launching A_fast: /usr/bin/python3.13 train_math.py A_fast
  Launching B_medium: /usr/bin/python3.13 train_math.py B_medium
  Launching C_gentle: /usr/bin/python3.13 train_math.py C_gentle
  Launching D_long: /usr/bin/python3.13 train_math.py D_long

Monitoring 4 configs...
  [02:39:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:40:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:40:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:41:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:41:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:42:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:42:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:43:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:43:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:44:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:44:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:45:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:45:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:46:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:46:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:47:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:47:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:48:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:48:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:49:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:49:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:50:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:50:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:51:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:51:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:52:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:52:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:53:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:53:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:54:13] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:54:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:55:13] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:55:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:56:13] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:56:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:57:13] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:57:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:58:13] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:58:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:59:13] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:59:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:00:13] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:00:44] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:01:14] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:01:44] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:02:14] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:02:44] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:03:14] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:03:44] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:04:14] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:04:44] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:05:14] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:05:44] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:06:14] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:06:45] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:07:15] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:07:45] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:08:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:08:45] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:09:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:09:45] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:10:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:10:45] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:11:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:11:45] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:12:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:12:45] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:13:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:13:45] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:14:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:14:45] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:15:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:15:45] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:16:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:16:45] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:17:15] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:17:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:18:16] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:18:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:19:16] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:19:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:20:16] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
