============================================================
Distillation Sweep: code
Configs: A_fast, B_medium, C_gentle, D_long
============================================================
  Launching A_fast: /usr/bin/python3.13 train_code.py A_fast
  Launching B_medium: /usr/bin/python3.13 train_code.py B_medium
  Launching C_gentle: /usr/bin/python3.13 train_code.py C_gentle
  Launching D_long: /usr/bin/python3.13 train_code.py D_long

Monitoring 4 configs...
  [02:54:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:55:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:55:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:56:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:56:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:57:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:57:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:58:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:58:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:59:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:59:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:00:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:00:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:01:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:01:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:02:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:02:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:03:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:03:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:04:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:04:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:05:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:05:42] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:06:12] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:06:43] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
